"text","favorited","favoriteCount","replyToSN","created_at","truncated","replyToSID","id","replyToUID","statusSource","screen_name","retweetCount","isRetweet","retweeted","longitude","latitude","from_user","reply_to","users_mentioned","retweet_from","hashtags_used"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 02:34:46,FALSE,,"969400590676701184",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alexandraarumi",1183,TRUE,FALSE,,,"alexandraarumi",,"evoespueblo","evoespueblo",
"RT @noticiasfides: #√öltimo @evoespueblo destaca la creatividad con el que fue creado el meme ""#RayoEvolizador"" que se convirti√≥ en tendenci‚Ä¶",FALSE,0,,2018-03-02 02:34:39,FALSE,,"969400564617445376",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElianahJorge",5,TRUE,FALSE,,,"ElianahJorge",,"noticiasfides evoespueblo","noticiasfides","#√öltimo #RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 02:34:21,FALSE,,"969400485718450176",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CaroHidro",1183,TRUE,FALSE,,,"CaroHidro",,"evoespueblo","evoespueblo",
"RT @thestreetsays: #RayoEvolizador 
Creo que no surti√≥ efecto Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç https://t.co/Z9nAm68mY8",FALSE,0,,2018-03-02 02:34:17,FALSE,,"969400471290089472",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thezancity13",24,TRUE,FALSE,,,"thezancity13",,"thestreetsays","thestreetsays",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 02:34:08,FALSE,,"969400432434040832",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MglPampa",1183,TRUE,FALSE,,,"MglPampa",,"evoespueblo","evoespueblo",
"RT @diarioeldeber: #EXTRA El #RayoEvolizador se hace viral en las redes https://t.co/HkdrKvSdxO https://t.co/XM3I9Ci0pI",FALSE,0,,2018-03-02 02:33:56,FALSE,,"969400383771693056",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WAJCHAWAWITA",67,TRUE,FALSE,,,"WAJCHAWAWITA",,"diarioeldeber","diarioeldeber","#EXTRA #RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 02:33:54,FALSE,,"969400376012271617",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gaucho_rojo",1183,TRUE,FALSE,,,"Gaucho_rojo",,"evoespueblo","evoespueblo",
"RT @asaoyvino: Buenoooo
#RayoEvolizador https://t.co/VDEcYbMbfg",FALSE,0,,2018-03-02 02:33:43,FALSE,,"969400328796897281",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thezancity13",121,TRUE,FALSE,,,"thezancity13",,"asaoyvino","asaoyvino","#RayoEvolizador"
"Expectativa: van a gritar indignadas como hicieron con P√°gina Siete. Realidad: est√°n mojadas con el tuit de Evo sob‚Ä¶ https://t.co/b3j1or4qaA",FALSE,0,,2018-03-02 02:33:39,TRUE,,"969400312934158336",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sergiomarcio3",0,FALSE,FALSE,,,"sergiomarcio3",,,,
"RT @Axel1Ray1: #RayoEvolizador hay cosas que ni el rayo pueden corregir @ArturoMurilloS @LaRazon_Bolivia @bitduarte @llamerosolo @GalvesTeo‚Ä¶",FALSE,0,,2018-03-02 02:33:32,FALSE,,"969400282210856960",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WAJCHAWAWITA",7,TRUE,FALSE,,,"WAJCHAWAWITA",,"Axel1Ray1 ArturoMurilloS LaRazon_Bolivia bitduarte llamerosolo GalvesTeo","Axel1Ray1","#RayoEvolizador"
"RT @viviza3: No puedo parar
#RayoEvolizador https://t.co/GVbIRSUB5X",FALSE,0,,2018-03-02 02:33:09,FALSE,,"969400183569223680",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thezancity13",91,TRUE,FALSE,,,"thezancity13",,"viviza3","viviza3","#RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 02:32:56,FALSE,,"969400131404599296",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","josecpozzi",1183,TRUE,FALSE,,,"josecpozzi",,"evoespueblo","evoespueblo",
